ts_code,name,up_limit_times
002639.SZ,雪人股份,7
002645.SZ,华宏科技,7
600212.SH,绿能慧充,7
603920.SH,世运电路,7
603901.SH,永创智能,7
002651.SZ,利君股份,7
002688.SZ,金河生物,7
300530.SZ,领湃科技,7
600119.SH,长江投资,7
002805.SZ,丰元股份,7
600396.SH,华电辽能,7
300718.SZ,长盛轴承,7
600828.SH,茂业商业,7
600829.SH,人民同泰,7
600830.SH,香溢融通,7
002946.SZ,新乳业,7
600835.SH,上海机电,7
002933.SZ,新兴装备,7
002537.SZ,海联金汇,7
002931.SZ,锋龙股份,7
600540.SH,新赛股份,7
605006.SH,山东玻纤,7
002682.SZ,龙洲股份,7
002903.SZ,宇环数控,7
002875.SZ,安奈儿,7
002824.SZ,和胜股份,7
600053.SH,九鼎投资,7
600081.SH,东风科技,7
600858.SH,银座股份,7
002574.SZ,明牌珠宝,7
002576.SZ,通达动力,7
002855.SZ,捷荣技术,7
600094.SH,大名城,7
002853.SZ,皮阿诺,7
600467.SH,好当家,7
600866.SH,星湖科技,7
603709.SH,中源家居,7
300399.SZ,天利科技,7
603339.SH,四方科技,7
301066.SZ,万事利,7
002044.SZ,美年健康,7
000096.SZ,广聚能源,7
001282.SZ,三联锻造,7
603178.SH,圣龙股份,7
002067.SZ,景兴纸业,7
002068.SZ,黑猫股份,7
000550.SZ,江铃汽车,7
002072.SZ,凯瑞德,7
000530.SZ,冰山冷热,7
002077.SZ,大港股份,7
000509.SZ,华塑控股,7
603489.SH,八方股份,7
001270.SZ,铖昌科技,7
000415.SZ,渤海租赁,7
002084.SZ,海鸥住工,7
603297.SH,永新光学,7
000151.SZ,中成股份,7
603061.SH,金海通,7
603236.SH,移远通信,7
000597.SZ,东北制药,7
603375.SH,盛景微,7
603200.SH,上海洗霸,7
603595.SH,东尼电子,7
603206.SH,嘉环科技,7
000701.SZ,厦门信达,7
603211.SH,晋拓股份,7
000737.SZ,北方铜业,7
603006.SH,联明股份,7
603185.SH,弘元绿能,7
603219.SH,富佳股份,7
000638.SZ,万方发展,7
001318.SZ,阳光乳业,7
603221.SH,爱丽家居,7
601606.SH,长城军工,7
002255.SZ,海陆重工,7
002356.SZ,赫美集团,7
000721.SZ,西安饮食,7
603586.SH,金麒麟,7
603326.SH,我乐家居,7
002225.SZ,濮耐股份,7
603335.SH,迪生力,7
603122.SH,合富中国,7
000917.SZ,电广传媒,7
603119.SH,浙江荣泰,7
000032.SZ,深桑达A,7
002153.SZ,石基信息,7
002370.SZ,亚太药业,7
002296.SZ,辉煌科技,7
001202.SZ,炬申股份,7
603527.SH,众源新材,7
000042.SZ,中洲控股,7
002133.SZ,广宇集团,7
688656.SH,浩欧博,7
002188.SZ,中天服务,7
603103.SH,横店影视,7
002362.SZ,汉王科技,7
002112.SZ,三变科技,7
000007.SZ,全新好,7
000068.SZ,华控赛格,7
000952.SZ,广济药业,7
002315.SZ,焦点科技,7
600708.SH,光明地产,6
600722.SH,金牛化工,6
002961.SZ,瑞达期货,6
002963.SZ,豪尔赛,6
001333.SZ,光华股份,6
603070.SH,万控智造,6
002975.SZ,博杰股份,6
300010.SZ,豆神教育,6
003037.SZ,三和管桩,6
001234.SZ,泰慕士,6
002949.SZ,华阳国际,6
600794.SH,保税科技,6
600779.SH,水井坊,6
603078.SH,江化微,6
600745.SH,闻泰科技,6
001309.SZ,德明利,6
600738.SH,丽尚国潮,6
300068.SZ,南都电源,6
003003.SZ,天元股份,6
001222.SZ,源飞宠物,6
600802.SH,福建水泥,6
600727.SH,鲁北化工,6
001255.SZ,博菲电气,6
601216.SH,君正集团,6
001366.SZ,播恩集团,6
002161.SZ,远望谷,6
002755.SZ,奥赛康,6
002119.SZ,康强电子,6
002724.SZ,海洋王,6
601881.SH,中国银河,6
002148.SZ,北纬科技,6
002156.SZ,通富微电,6
002697.SZ,红旗连锁,6
002695.SZ,煌上煌,6
603528.SH,多伦科技,6
001368.SZ,通达创智,6
002676.SZ,顺威股份,6
002183.SZ,怡亚通,6
002664.SZ,信质集团,6
002663.SZ,普邦股份,6
002660.SZ,茂硕电源,6
002655.SZ,共达电声,6
002189.SZ,中光学,6
002649.SZ,博彦科技,6
002114.SZ,罗平锌电,6
002761.SZ,浙江建投,6
002762.SZ,金发拉比,6
002778.SZ,中晟高科,6
002921.SZ,联诚精密,6
002902.SZ,铭普光磁,6
600857.SH,宁波中百,6
603005.SH,晶方科技,6
002030.SZ,达安基因,6
002040.SZ,南京港,6
002042.SZ,华孚时尚,6
000955.SZ,欣龙控股,6
002046.SZ,国机精工,6
002856.SZ,美芝股份,6
603712.SH,七一二,6
603711.SH,香飘飘,6
002837.SZ,英维克,6
002799.SZ,环球印务,6
600882.SH,妙可蓝多,6
603499.SH,翔港科技,6
603500.SH,祥和实业,6
600702.SH,舍得酒业,6
603138.SH,海量数据,6
600697.SH,欧亚集团,6
